taxon,growthForm,guild,trophicMode,confidenceRanking,n_assemblies
Hymenoscyphus,Microfungus,Bryophyte Parasite-Ectomycorrhizal-Ericoid Mycorrhizal-Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,12
Hymenoscyphus albidus,Microfungus,Litter Saprotroph,Saprotroph,Highly Probable,1
Hymenoscyphus fraxineus,Microfungus,Plant Pathogen,Pathotroph,Highly Probable,1
Hymenotorrendiella,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Hyphodiscus,Microfungus,|Fungal Parasite|-Wood Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Hyphodiscus hymeniophilus,Microfungus,Fungal Parasite,Pathotroph,Highly Probable,1
Hypholoma fasciculare,Agaricoid,Wood Saprotroph,Saprotroph,Probable,1
Hypholoma sublateritium,Agaricoid,Wood Saprotroph,Saprotroph,Probable,1
Hyphopichia,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,11
Hypocenomyce scalaris,Thallus,Lichenized,Symbiotroph,Probable,1
Hypocreales,Microfungus,Undefined Saprotroph,Saprotroph,Possible,3
Hypocrella,Microfungus,|Animal Parasite|-Animal Pathogen-Clavicipitaceous Endophyte,Pathotroph-Symbiotroph,Possible,1
Hypomontagnella,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,2
Hypomyces,Microfungus,|Fungal Parasite|,Pathotroph,Highly Probable,1
Hypomyces rosellus,Microfungus,Fungal Parasite,Pathotroph,Highly Probable,1
Hypoxylon,Microfungus,Endophyte-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph-Saprotroph-Symbiotroph,Probable,22
Hypoxylon fragiforme,NULL,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Hypoxylon fuscum,NULL,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Hypoxylon perforatum,NULL,Endophyte,Symbiotroph,Highly Probable,1
Hypoxylon rubiginosum,NULL,Endophyte,Symbiotroph,Probable,1
Hypsizygus,Agaricoid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,2
Hysterangium,Gasteroid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Hysterium,Microfungus,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph-Pathotroph-Saprotroph,Probable,1
Icmadophila,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Ilyonectria,Microfungus,|Plant Pathogen|,Pathotroph,Probable,4
Imleria,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,1
Immersiella,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Immersiporthe,Microfungus,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Imshaugia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Infundibulicybe gibba,Agaricoid,Litter Saprotroph,Saprotroph,Highly Probable,1
Inonotus,Polyporoid,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Highly Probable,2
Iodosphaeria,Microfungus,|Plant Saprotroph|-Wood Saprotroph,Saprotroph,Probable,1
Irineochytrium,Chytrid-Microfungus,|Pollen Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Irpex,Corticioid,|Wood Saprotroph|,Saprotroph,Highly Probable,6
Jaapia,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Jackrogersella,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,2
Jaminaea,Yeast,|Epiphyte|-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Jimgerdemannia,Microfungus,|Ectomycorrhizal|,Symbiotroph,Probable,2
Juglanconis,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,3
Kalaharituber,Gasteroid,Ectomycorrhizal-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Possible,1
Kalmanozyma,Dimorphic,|Undefined Saprotroph|,Saprotroph,Probable,1
Kalmusia,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Kappamyces,Chytrid-Microfungus,|Pollen Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,2
Karstenula,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Kazachstania,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,13
Kendrickiella,Microfungus,|Fungal Parasite|,Pathotroph,Probable,1
Kickxella,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Kluyveromyces,Yeast,Endophyte-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Probable,8
Kluyveromyces lactis,Yeast,Undefined Saprotroph,Saprotroph,Probable,1
Kluyveromyces marxianus,Yeast,Endophyte,Symbiotroph,Highly Probable,1
Knoxdaviesia,Microfungus,|Plant Pathogen|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,2
Knufia,Dimorphic-Microfungus,Animal Pathogen-Plant Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph,Possible,4
Knufia peltigerae,Microfungus,Lichen Parasite,Pathotroph,Highly Probable,1
Kockiozyma,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,1
Kockovaella,Yeast,Endophyte-|Epiphyte|-Undefined Saprotroph,Saprotroph-Symbiotroph,Probable,1
Kodamaea,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,23
Kodamaea ohmeri,NULL,Animal Pathogen,Pathotroph,Probable,1
Komagataella,Yeast,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,7
Kondoa,Dimorphic,|Undefined Saprotroph|,Saprotroph,Probable,2
Krasilnikovozyma,Dimorphic,|Undefined Saprotroph|,Saprotroph,Probable,1
Kregervanrija,Yeast,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,3
Kuraishia,Yeast,|Animal Symbiotroph|-Undefined Saprotroph,Saprotroph-Symbiotroph,Probable,7
Kuraishia capsulata,NULL,Animal Pathogen,Pathotroph,Probable,1
Kurtzmaniella,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,11
Kwoniella,Dimorphic,|Undefined Saprotroph|,Saprotroph,Probable,15
Laburnicola,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,4
Laccaria,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,3
Lachancea,Yeast,Animal Parasite-Animal Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph,Possible,12
Lachancea fermentati,Yeast,Animal Pathogen,Pathotroph,Probable,1
Lachnellula,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,7
Lachnum,Microfungus,Endophyte-|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Saprotroph-Symbiotroph,Probable,1
Lactarius,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,15
Lactifluus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,7
Laetiporus,Polyporoid,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Lambiella insularis,Microfungus,Lichenized,Symbiotroph,Highly Probable,1
Lanmaoa,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Probable,3
Lanzia,Microfungus,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Lasallia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Lasiodiplodia,Microfungus,Endophyte-|Plant Pathogen|,Pathotroph-Symbiotroph,Probable,9
Lasiodiplodia pseudotheobromae,NULL,Animal Pathogen,Pathotroph,Probable,1
Lasiodiplodia theobromae,NULL,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Lasiosphaeria,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Lasiosphaeria hispida,Microfungus,Litter Saprotroph,Saprotroph,Highly Probable,1
Lasiosphaeriaceae,Microfungus,Undefined Saprotroph,Saprotroph,Probable,1
Lasiosphaeris,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Lecanicillium,Microfungus,|Animal Parasite|-Animal Pathogen-Endophyte-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,9
Lecanosticta,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Leccinellum,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,4
Leccinum,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,51
Lentinula,Agaricoid,|Wood Saprotroph|,Saprotroph,Probable,10
Lentinus,Agaricoid,|Wood Saprotroph|,Saprotroph,Probable,2
Lentithecium,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Lenzites,Polyporoid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Lepidopterella,Microfungus,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Lepiota,Agaricoid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Lepiota brunneoincarnata,Agaricoid,Undefined Saprotroph,Saprotroph,Probable,1
Lepiota subincarnata,Agaricoid,Undefined Saprotroph,Saprotroph,Probable,1
Lepraria,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Leptodontidium,Microfungus,Endophyte-Ericoid Mycorrhizal-|Plant Saprotroph|,Saprotroph-Symbiotroph,Highly Probable,2
Leptographium,Microfungus,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,7
Leptographium wageneri,NULL,Plant Pathogen,Pathotroph,Probable,1
Leptosphaerulina australis,NULL,Plant Pathogen,Pathotroph,Probable,1
Leptoxyphium,Microfungus,|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Letharia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,2
Letrouitia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,2
Leucoagaricus,Agaricoid,|Undefined Saprotroph|,Saprotroph,Probable,3
Leucocoprinus,Agaricoid,|Undefined Saprotroph|,Saprotroph,Probable,2
Leucogyrophana,Corticioid-Microfungus,Lichen Parasite-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Leucosporidium,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,1
Leucosporidium creatinivorum,Yeast,Soil Saprotroph,Saprotroph,Probable,1
Leucosporidium yakuticum,Yeast,Soil Saprotroph,Saprotroph,Probable,1
Lichenothelia convexa,Microfungus,Lichen Parasite,Pathotroph,Possible,1
Lichina,Thallus,|Lichenized|,Symbiotroph,Highly Probable,2
Lichtheimia,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Lichtheimia corymbifera,Microfungus,Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Lichtheimia hyalospora,NULL,Animal Pathogen,Pathotroph,Probable,1
Lichtheimia ornata,NULL,Animal Pathogen,Pathotroph,Probable,1
Lichtheimia ramosa,NULL,Animal Pathogen,Pathotroph,Probable,1
Lignoscripta,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Lignosus,Polyporoid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Limonomyces,Corticioid,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Limtongia,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,1
Linderina,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Lindgomyces,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Lineolata,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Lipomyces,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,19
Lithohypha,NULL,|Undefined Saprotroph|,Saprotroph,Probable,1
Lizonia,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,1
Lobaria,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Lobosporangium,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Lobulomyces,Chytrid-Microfungus,|Pollen Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Lodderomyces,Yeast,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Lodderomyces elongisporus,NULL,Animal Pathogen,Pathotroph,Probable,1
Lomentospora prolificans,NULL,Animal Pathogen,Pathotroph,Probable,1
Lophiostoma,Microfungus,Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Lophiotrema,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Lophium,Microfungus,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Loxospora,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Lyophyllum,Agaricoid,|Ectomycorrhizal|-Undefined Saprotroph,Saprotroph-Symbiotroph,Possible,4
Macalpinomyces,Dimorphic-Facultative Yeast-Smut,|Plant Pathogen|,Pathotroph,Probable,1
Macrocybe,Agaricoid,|Undefined Saprotroph|,Saprotroph,Probable,2
Macrocystidia,Agaricoid,|Undefined Saprotroph|,Saprotroph,Probable,1
Macrolepiota,Agaricoid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,2
Macrophomina,Microfungus,Endophyte-|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,2
Macrophomina phaseolina,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Macroventuria,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Madurella fahalii,NULL,Animal Pathogen,Pathotroph,Probable,1
Madurella mycetomatis,NULL,Animal Pathogen,Pathotroph,Probable,1
Magnaporthe,Microfungus,|Plant Pathogen|,Pathotroph,Probable,5
Magnaporthiopsis,Microfungus,|Undefined Pathogen|,Pathotroph,Probable,3
Magnusiomyces,Yeast,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,6
Magnusiomyces capitatus,NULL,Animal Pathogen,Pathotroph,Probable,1
Malassezia,Facultative Yeast-Yeast,Animal Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,10
Malassezia caprae,NULL,Animal Pathogen,Pathotroph,Probable,1
Malassezia dermatis,NULL,Animal Pathogen,Pathotroph,Probable,1
Malassezia equina,NULL,Animal Pathogen,Pathotroph,Probable,1
Malassezia furfur,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Malassezia globosa,Facultative Yeast,Animal Pathogen,Pathotroph,Probable,1
Malassezia obtusa,NULL,Animal Pathogen,Pathotroph,Probable,1
Malassezia pachydermatis,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Malassezia restricta,NULL,Animal Pathogen,Pathotroph,Probable,1
Malassezia slooffiae,Facultative Yeast,Animal Pathogen,Pathotroph,Probable,1
Malassezia sympodialis,NULL,Animal Pathogen,Pathotroph,Probable,1
Malbranchea,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Marasmiellus,Agaricoid,|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Saprotroph,Probable,1
Marasmius,Agaricoid,Endophyte-Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,4
Marasmius tenuissimus,Agaricoid,Plant Pathogen,Pathotroph,Probable,1
Marcelleina,Microfungus,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Margaritispora,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Mariannaea,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Mariannaea elegans,NULL,Plant Pathogen,Pathotroph,Probable,1
Marssonina,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Martensiomyces,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Martiniozyma,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,2
Massarina,Microfungus,|Plant Pathogen|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Massariosphaeria,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Massospora,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Megacollybia,Agaricoid,|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Saprotroph,Probable,2
Meira,Dimorphic,|Animal Parasite|-Animal Pathogen-Plant Pathogen,Pathotroph,Probable,2
Melampsora,Microfungus-Rust,|Plant Pathogen|,Pathotroph,Probable,5
Melampsora medusae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Melampsora occidentalis,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Melanodothis,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,2
Melanogaster,Gasteroid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Melanomma,Microfungus-Thallus,Lichenized-|Wood Saprotroph|,Saprotroph-Symbiotroph,Highly Probable,1
Melanopsichium,Dimorphic-Facultative Yeast-Smut,|Plant Pathogen|,Pathotroph,Probable,1
Meredithiella,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Meristemomyces,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Meruliopsis,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Metahyphopichia,Dimorphic,|Undefined Saprotroph|,Saprotroph,Probable,1
Metarhizium,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,8
Metarhizium robertsii,NULL,Endophyte,Symbiotroph,Probable,1
Metchnikovella,Microfungus,|Protist Parasite|,Pathotroph,Probable,1
Metschnikowia,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,75
Metschnikowia hawaiiensis,NULL,Animal Pathogen,Pathotroph,Probable,1
Metschnikowia pulcherrima,NULL,Endophyte,Symbiotroph,Probable,1
Metschnikowia reukaufii,NULL,Animal Pathogen,Pathotroph,Probable,1
Meyerozyma,Yeast,Endophyte-|Epiphyte|-Undefined Saprotroph,Saprotroph-Symbiotroph,Probable,5
Meyerozyma caribbica,Yeast,Epiphyte,Symbiotroph,Probable,1
Meyerozyma guilliermondii,NULL,Animal Pathogen,Pathotroph,Probable,1
Microascus cirrosus,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Microbotryum,Smut,|Plant Pathogen|,Pathotroph,Probable,7
Microcera,Microfungus,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Microcyclospora,Microfungus,|Plant Pathogen|,Pathotroph,Probable,2
Microcyclosporella,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Microdochium,Microfungus,Endophyte-|Plant Pathogen|,Pathotroph-Symbiotroph,Possible,2
Microdochium bolleyi,NULL,Plant Pathogen,Pathotroph,Probable,1
Microdochium nivale,NULL,Plant Pathogen,Pathotroph,Probable,1
Microsporum,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Microsporum audouinii,NULL,Animal Pathogen,Pathotroph,Probable,1
Microsporum canis,NULL,Animal Pathogen,Pathotroph,Probable,1
Microstroma,Dimorphic,|Plant Pathogen|,Pathotroph,Probable,1
Microthyrium,Microfungus,|Epiphyte|-Plant Saprotroph-Undefined Saprotroph,Saprotroph-Symbiotroph,Probable,1
Middelhovenomyces,Yeast,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Millerozyma,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,2
Millerozyma acaciae,NULL,Animal Pathogen,Pathotroph,Probable,1
Millerozyma farinosa,NULL,Animal Pathogen,Pathotroph,Probable,1
Mitosporidium,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Mixia osmundae,Facultative Yeast,Undefined Saprotroph,Saprotroph,Highly Probable,1
Modicella,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Moelleriella,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Moesziomyces,Dimorphic-Facultative Yeast-Smut,|Plant Pathogen|,Pathotroph,Probable,6
Mollisia,Microfungus,Endophyte-|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Monascus,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Monascus purpureus,NULL,Plant Pathogen,Pathotroph,Probable,1
Monascus ruber,NULL,Plant Pathogen,Pathotroph,Probable,1
Moniliella,Dimorphic,|Undefined Saprotroph|,Saprotroph,Probable,1
Monilinia,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,3
Monilinia fructicola,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Monilinia fructigena,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Monilinia laxa,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Moniliophthora roreri,NULL,Plant Pathogen,Pathotroph,Probable,1
Monosporascus,Microfungus,|Plant Pathogen|,Pathotroph,Probable,8
Monosporascus cannonballus,NULL,Plant Pathogen,Pathotroph,Probable,1
Morchella,Microfungus,Ectomycorrhizal-|Undefined Saprotroph|-Wood Saprotroph,Saprotroph-Symbiotroph,Probable,22
Mortierella,Microfungus,Endophyte-Plant Saprotroph-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Probable,20
Mrakia,Dimorphic-Yeast,|Undefined Saprotroph|,Saprotroph,Probable,6
Mucidula,Agaricoid,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Mucor,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,8
Mucor circinelloides,Facultative Yeast,Animal Pathogen-Plant Pathogen,Pathotroph,Probable,1
Mucor flavus,NULL,Animal Pathogen,Pathotroph,Probable,1
Mucor indicus,NULL,Animal Pathogen,Pathotroph,Probable,1
Mucor mucedo,NULL,Dung Saprotroph-Plant Pathogen,Pathotroph-Saprotroph,Probable,1
Mucor piriformis,NULL,Plant Pathogen,Pathotroph,Probable,1
Mucor racemosus,NULL,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Multifurca,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Mycena,Agaricoid,Plant Pathogen-|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph,Probable,29
Mycena pura,Agaricoid,Litter Saprotroph,Saprotroph,Highly Probable,1
Mycena sanguinolenta,Agaricoid,Leaf Saprotroph,Saprotroph,Probable,1
Mycoblastus sanguinarius,Thallus,Lichenized,Symbiotroph,Probable,1
Mycocalia,Gasteroid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Mycocentrospora acerina,NULL,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Mycoemilia,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Mycogone,Microfungus,|Fungal Parasite|,Pathotroph,Highly Probable,1
Mycosphaerella,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,3
Mycosphaerella arachidis,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Mycosphaerelloides,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Mycotypha,Microfungus,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,1
Myochromella,Agaricoid,|Undefined Saprotroph|,Saprotroph,Probable,1
Myotisia,NULL,|Undefined Saprotroph|,Saprotroph,Probable,1
Myriangium,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Myriosclerotinia,Microfungus,|Plant Pathogen|,Pathotroph,Probable,4
Myrmaecium,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Mytilinidion,Microfungus,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Myxozyma,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,12
Nadsonia,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,3
Naematelia,Dimorphic-Tremelloid,|Fungal Parasite|,Pathotroph,Probable,2
Naganishia,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,13
Nakaseomyces,Yeast,Animal Parasite-|Undefined Saprotroph|,Pathotroph-Saprotroph,Probable,6
Nakaseomyces delphensis,NULL,Animal Pathogen,Pathotroph,Probable,1
Nakataea,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Nakazawaea,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,12
Nakazawaea ernobii,NULL,Animal Pathogen,Pathotroph,Probable,1
Nakazawaea holstii,NULL,Animal Pathogen,Pathotroph,Probable,1
Nannizzia,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Nannizziopsis,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,2
Naumovozyma,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,3
Nectria,Microfungus,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,2
Nectriaceae,Microfungus,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,2
Nemania,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,3
Nemania abortiva,NULL,Endophyte,Symbiotroph,Probable,1
Nemania bipapillata,NULL,Endophyte,Symbiotroph,Highly Probable,1
Nemania diffusa,NULL,Endophyte,Symbiotroph,Highly Probable,1
Nemania serpens,NULL,Endophyte,Symbiotroph,Highly Probable,1
Nematocida,Microfungus,|Animal Parasite|,Pathotroph,Probable,14
Nematodospora,Yeast,|Animal Symbiotroph|-Undefined Saprotroph,Saprotroph-Symbiotroph,Probable,2
Neoascochyta,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,1
Neoboletus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,3
Neobulgaria,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Neocallimastix,Chytrid-Microfungus,|Animal Symbiotroph|-Plant Saprotroph,Saprotroph-Symbiotroph,Highly Probable,2
Neocatenulostroma,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,1
Neoconidiobolus,Microfungus,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Neocucurbitaria,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Neodidymelliopsis,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Neofusicoccum,Microfungus,Endophyte-|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,10
Neohortaea,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Neolecta,Clavarioid,|Plant Pathogen|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Neolentinus,Agaricoid,|Wood Saprotroph|,Saprotroph,Probable,1
Neonectria,Microfungus,|Plant Pathogen|,Pathotroph,Probable,8
Neonectria ditissima,NULL,Endophyte,Symbiotroph,Probable,1
Neonothopanus,Agaricoid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Neopestalotiopsis,Microfungus,|Plant Pathogen|,Pathotroph,Probable,6
Neophaeococcomyces,Yeast,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,1
Neoroussoella,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
