Species,trait,value,source,notes
Pseudocercospora fijiensis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Pseudocercospora fijiensis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Pseudocercospora fijiensis,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|"")"
Pseudogymnoascus destructans,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"")"
Pseudogymnoascus destructans,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Pseudogymnoascus destructans,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Pseudogymnoascus destructans,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Pseudogymnoascus destructans,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-|Undefined Saprotroph|"")"
Pseudomassariella vexata,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Pseudomassariella vexata,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Pseudovirgaria hyperparasitica,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Pseudovirgaria hyperparasitica,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Pseudovirgaria hyperparasitica,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Fungal Parasite|"")"
Pseudozyma flocculosa,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Pseudozyma flocculosa,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Symbiotroph"")"
Pseudozyma flocculosa,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Symbiotroph"")"
Pseudozyma flocculosa,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Epiphyte|-Fungal Parasite"")"
Pseudozyma flocculosa,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Epiphyte|-Fungal Parasite"")"
Psilocybe cubensis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Agaricoid"")"
Psilocybe cubensis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Psilocybe cubensis,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Saprotroph|-Undefined Saprotroph"")"
Puccinia graminis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph"")"
Puccinia graminis,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Plant Pathogen|"")"
Punctularia strigosozonata,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Corticioid"")"
Punctularia strigosozonata,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Punctularia strigosozonata,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Punctularia strigosozonata,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|"")"
Punctularia strigosozonata,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|"")"
Purpureocillium lilacinum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Purpureocillium lilacinum,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Purpureocillium lilacinum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Purpureocillium lilacinum,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|-Fungal Parasite-Undefined Saprotroph"")"
Purpureocillium lilacinum,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|-Fungal Parasite-Undefined Saprotroph"")"
Pyrenophora teres,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"") -- CAUTION: Pyrenophora is trophically/ecologically diverse across species; this genus-level composite call may not reflect Pyrenophora teres specifically, verify before relying on it"
Pyrenophora teres,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"") -- CAUTION: Pyrenophora is trophically/ecologically diverse across species; this genus-level composite call may not reflect Pyrenophora teres specifically, verify before relying on it"
Pyrenophora teres,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"") -- CAUTION: Pyrenophora is trophically/ecologically diverse across species; this genus-level composite call may not reflect Pyrenophora teres specifically, verify before relying on it"
Pyrenophora teres,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Wood Saprotroph"") -- CAUTION: Pyrenophora is trophically/ecologically diverse across species; this genus-level composite call may not reflect Pyrenophora teres specifically, verify before relying on it"
Pyrenophora teres,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Wood Saprotroph"") -- CAUTION: Pyrenophora is trophically/ecologically diverse across species; this genus-level composite call may not reflect Pyrenophora teres specifically, verify before relying on it"
Pyricularia grisea,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Pyricularia grisea,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Pyricularia grisea,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|"")"
Ramularia collo-cygni,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Ramularia collo-cygni,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Ramularia collo-cygni,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|"")"
Rasamsonia byssochlamydoides,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Rasamsonia byssochlamydoides,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Rasamsonia byssochlamydoides,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Rasamsonia byssochlamydoides,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Parasite-|Undefined Saprotroph|"")"
Recurvomyces mirabilis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"")"
Recurvomyces mirabilis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Saprotroph"")"
Rhodofomes roseus,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Polyporoid"")"
Rhodofomes roseus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Rhodofomes roseus,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Wood Saprotroph|"")"
Saccharomycodes ludwigii,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Saccharomycodes ludwigii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Saccharomycopsis crataegensis,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Saccharomycopsis crataegensis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Saccharomycopsis crataegensis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Saccharomycopsis crataegensis,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Parasite-|Undefined Saprotroph|"")"
Saitoella complicata,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Saitoella complicata,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Saxophila tyrrhenica,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Saxophila tyrrhenica,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Scedosporium apiospermum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Scedosporium apiospermum,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Scedosporium apiospermum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Scedosporium apiospermum,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Parasite-|Undefined Saprotroph|"")"
Scheffersomyces amazonensis,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Yeast"")"
Scheffersomyces amazonensis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Scheffersomyces amazonensis,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Scheffersomyces amazonensis,animal_association,commensal,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Animal Symbiotroph|-Undefined Saprotroph""); Symbiotroph mapped conservatively to commensal"
Sclerotinia sclerotiorum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Sclerotinia sclerotiorum,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Sclerotinia sclerotiorum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Sclerotinia sclerotiorum,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph"")"
Sclerotinia sclerotiorum,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph"")"
Sodiomyces alcalophilus,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Sodiomyces alcalophilus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Sordaria macrospora,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Sordaria macrospora,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Sordaria macrospora,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Sordaria macrospora,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Dung Saprotroph|-Plant Pathogen-Wood Saprotroph"")"
Sordaria macrospora,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Dung Saprotroph|-Plant Pathogen-Wood Saprotroph"")"
Sparassis crispa,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Sparassis crispa,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Sparassis crispa,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Sparassis crispa,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Wood Saprotroph"")"
Sparassis crispa,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Wood Saprotroph"")"
Spathaspora passalidarum,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Spathaspora passalidarum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Spathaspora passalidarum,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Spathaspora passalidarum,animal_association,commensal,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Symbiotroph|-Undefined Saprotroph""); Symbiotroph mapped conservatively to commensal"
Sphaerulina musiva,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Microfungus-Thallus"")"
Sphaerulina musiva,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Sphaerulina musiva,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Sphaerulina musiva,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Sphaerulina musiva,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Lichenized-Plant Pathogen-|Plant Saprotroph|"")"
Sphaerulina musiva,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""Lichenized-Plant Pathogen-|Plant Saprotroph|"")"
Sporisorium graminicola,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Dimorphic-Facultative Yeast-Smut"")"
Sporisorium graminicola,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Sporisorium graminicola,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|"")"
Sporobolomyces koalae,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Sporobolomyces koalae,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Sporobolomyces koalae,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Sporobolomyces koalae,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Fungal Parasite|-Plant Saprotroph"")"
Sporobolomyces koalae,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Fungal Parasite|-Plant Saprotroph"")"
Sporothrix brasiliensis,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Sporothrix brasiliensis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Sporothrix brasiliensis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Sporothrix brasiliensis,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Sporothrix brasiliensis,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph"")"
Sporothrix brasiliensis,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph"")"
Sporothrix brasiliensis,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph"")"
Sporothrix brasiliensis,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph"")"
Sugiyamaella lignohabitans,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Sugiyamaella lignohabitans,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Sugiyamaella lignohabitans,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Sugiyamaella lignohabitans,animal_association,commensal,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Symbiotroph|-Undefined Saprotroph""); Symbiotroph mapped conservatively to commensal"
Suhomyces tanzawaensis,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Suhomyces tanzawaensis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Suillus bovinus,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Agaricoid-Boletoid"")"
Suillus bovinus,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Symbiotroph"")"
Suillus bovinus,plant_association,mycorrhizal_mutualist,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (guild ""|Ectomycorrhizal|"")"
Talaromyces amestolkiae,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"") -- CAUTION: Talaromyces is trophically/ecologically diverse across species; this genus-level composite call may not reflect Talaromyces amestolkiae specifically, verify before relying on it"
Talaromyces amestolkiae,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"") -- CAUTION: Talaromyces is trophically/ecologically diverse across species; this genus-level composite call may not reflect Talaromyces amestolkiae specifically, verify before relying on it"
Talaromyces amestolkiae,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"") -- CAUTION: Talaromyces is trophically/ecologically diverse across species; this genus-level composite call may not reflect Talaromyces amestolkiae specifically, verify before relying on it"
Talaromyces amestolkiae,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Parasite-|Undefined Saprotroph|"") -- CAUTION: Talaromyces is trophically/ecologically diverse across species; this genus-level composite call may not reflect Talaromyces amestolkiae specifically, verify before relying on it"
Tetrapisispora phaffii,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Tetrapisispora phaffii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Thermoascus crustaceus,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Thermoascus crustaceus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Thermothelomyces heterothallicus,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Thermothelomyces heterothallicus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Thyridium curvatum,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Thyridium curvatum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Thyridium curvatum,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Wood Saprotroph|"")"
Tilletiopsis washingtonensis,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus-Yeast"")"
Tilletiopsis washingtonensis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Tilletiopsis washingtonensis,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Tilletiopsis washingtonensis,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Tilletiopsis washingtonensis,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Tilletiopsis washingtonensis,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Tilletiopsis washingtonensis,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Fungal Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph"")"
Torulaspora delbrueckii,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Torulaspora delbrueckii,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Torulaspora delbrueckii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Torulaspora delbrueckii,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Parasite-|Undefined Saprotroph|"")"
Trametes versicolor,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Polyporoid"")"
Trametes versicolor,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Trametes versicolor,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
